Fid,Drug_Name1,Reason1,Drug_Name2,Reason2,Rating,Reviews,Drugfollowers,Label
239.255.255.250-10.42.0.211-1900-58586-17,A CN Gel(Topical) 20gmA CN Soap 75gm,Acne,Imdur 30mg Tablet 30'SImdur 60mg Tablet 30'S,Angina,5,65,612,0
10.42.0.1-10.42.0.42-53-31451-17,A Ret 0.05% Gel 20gmA Ret 0.1% Gel 20gmA Ret 0.025% Gel 20gm,Acne,Imnit 30mg Tablet 10'SImnit 60mg Tablet 10'S,Angina,10,63,29,1
157.55.130.155-10.42.0.211-40008-60774-17,ACGEL CL NANO Gel 15gm,Acne,Inapure 7.5mg Tablet 10'SInapure 5mg Tablet 10'S,Angina,6,72,29,0
10.42.0.151-72.21.207.148-35575-443-6,ACGEL NANO Gel 15gm,Acne,Indap 2.5mg Tablet 10'S,Angina,10,17,1368,0
182.22.25.252-10.42.0.211-443-38769-6,Acleen 1% Lotion 25ml,Acne,Indapamide SR 1.5mg Tablet 10'S,Angina,5,10,1368,0
172.217.10.10-10.42.0.151-443-46881-6,Aclene 0.10% Gel 15gm,Acne,Ionozem 30mg Tablet 10'S,Angina,10,8,172,0
10.42.0.42-66.198.24.224-41089-443-6,Acnay Gel 10gm,Acne,Irban 5mg Tablet 10'SIrban 7.5mg Tablet 10'S,Angina,9,34,2291,0
10.42.0.151-31.13.71.3-43132-443-6,Acne Aid Bar 50gmAcne Aid Bar 100gm,Acne,Isbid 20mg Tablet 10'SIsbid 10mg Tablet 10'S,Angina,2,34,286,1
174.35.73.149-10.42.0.211-80-59292-6,Acne UV Gel 60gm,Acne,Iski 30mg Tablet 10'SIski 60mg Tablet 10'S,Angina,1,73,29,1
10.42.0.151-10.42.0.1-1858-53-17,Acne UV SPF 30 Gel 30gm,Acne,Iski SR 90mg Tablet 10'S,Angina,7,0,1368,0
